section,location,date,question_order,question_title,answer,frequency,question_type,question_allowedValues
Componente 1: NNA resignifican y hacen buen uso del espacio público,Acandí,26.10.2015 00:00:00,1,"Si veo una basurita tirada en algún lugar de la calle, ¿La recojo?",Siempre,1,multiOptionSingleChoice,"{""list"":[""Nunca"",""Siempre"",""A veces""]}"
Componente 1: NNA resignifican y hacen buen uso del espacio público,Acandí,26.10.2015 00:00:00,1,"Si veo una basurita tirada en algún lugar de la calle, ¿La recojo?",A veces,12,multiOptionSingleChoice,"{""list"":[""Nunca"",""Siempre"",""A veces""]}"
Componente 1: NNA resignifican y hacen buen uso del espacio público,Acandí,26.10.2015 00:00:00,2,Si estoy en la cancha comiendo dulces ¿tiro la basura al suelo?,A veces,10,multiOptionSingleChoice,"{""list"":[""Nunca"",""Siempre"",""A veces""]}"
Componente 1: NNA resignifican y hacen buen uso del espacio público,Acandí,26.10.2015 00:00:00,2,Si estoy en la cancha comiendo dulces ¿tiro la basura al suelo?,Nunca,2,multiOptionSingleChoice,"{""list"":[""Nunca"",""Siempre"",""A veces""]}"
Componente 1: NNA resignifican y hacen buen uso del espacio público,Acandí,26.10.2015 00:00:00,2,Si estoy en la cancha comiendo dulces ¿tiro la basura al suelo?,Siempre,1,multiOptionSingleChoice,"{""list"":[""Nunca"",""Siempre"",""A veces""]}"
Componente 1: NNA resignifican y hacen buen uso del espacio público,Acandí,26.10.2015 00:00:00,3,Cuando voy a jugar a las canchas o parques ¿me ha tocado devolverme porque algunas personas están allí  consumiendo vicio?,Sí,4,yesno,"{""list"":[""Sí"",""No""]}"
Componente 1: NNA resignifican y hacen buen uso del espacio público,Acandí,26.10.2015 00:00:00,3,Cuando voy a jugar a las canchas o parques ¿me ha tocado devolverme porque algunas personas están allí  consumiendo vicio?,No,9,yesno,"{""list"":[""Sí"",""No""]}"
Componente 1: NNA resignifican y hacen buen uso del espacio público,Acandí,26.10.2015 00:00:00,4,Alguien está robando la malla de la cancha y yo lo veo ¿qué hago?,Le digo que porque a van a coger si eso es para nuestra recreación,1,text,
Componente 1: NNA resignifican y hacen buen uso del espacio público,Acandí,26.10.2015 00:00:00,4,Alguien está robando la malla de la cancha y yo lo veo ¿qué hago?,"Le digo que no lo haga, y si lo sigue haciendo lo acuso con un mayor o a la seño, para que le llame la atención",1,text,
Componente 1: NNA resignifican y hacen buen uso del espacio público,Acandí,26.10.2015 00:00:00,4,Alguien está robando la malla de la cancha y yo lo veo ¿qué hago?,Le digo que no lo haga porque se acostumbran a robar cosas pequeñas hasta grandes y eso no es buen ejemplo.,1,text,
Componente 1: NNA resignifican y hacen buen uso del espacio público,Acandí,26.10.2015 00:00:00,4,Alguien está robando la malla de la cancha y yo lo veo ¿qué hago?,Lo dejo porque uno lo regaña de buena manera y lo que hacen es regñarlo a uno,1,text,
Componente 1: NNA resignifican y hacen buen uso del espacio público,Acandí,26.10.2015 00:00:00,4,Alguien está robando la malla de la cancha y yo lo veo ¿qué hago?,Busco a un adulto y le comento que se están llevando la malla.,1,text,
Componente 1: NNA resignifican y hacen buen uso del espacio público,Acandí,26.10.2015 00:00:00,4,Alguien está robando la malla de la cancha y yo lo veo ¿qué hago?,le doy un consejo que la malla de a cancha es para todos y no hay que dañarla,1,text,
Componente 1: NNA resignifican y hacen buen uso del espacio público,Acandí,26.10.2015 00:00:00,4,Alguien está robando la malla de la cancha y yo lo veo ¿qué hago?,le pregunto porque se la esta robando,1,text,
Componente 1: NNA resignifican y hacen buen uso del espacio público,Acandí,26.10.2015 00:00:00,4,Alguien está robando la malla de la cancha y yo lo veo ¿qué hago?,dialogo  con el. le digo oye amigo no te lleves eso que algún dia tu puedes jugar acá.,1,text,
Componente 1: NNA resignifican y hacen buen uso del espacio público,Acandí,26.10.2015 00:00:00,4,Alguien está robando la malla de la cancha y yo lo veo ¿qué hago?,decirle a algún adulto o decirle que no se las robe.,1,text,
Componente 1: NNA resignifican y hacen buen uso del espacio público,Acandí,26.10.2015 00:00:00,4,Alguien está robando la malla de la cancha y yo lo veo ¿qué hago?,le digo a cualquier persona que es cerca o que salga avisarle a un mayor.,1,text,
Componente 1: NNA resignifican y hacen buen uso del espacio público,Acandí,26.10.2015 00:00:00,4,Alguien está robando la malla de la cancha y yo lo veo ¿qué hago?,como yo soy menor le aviso a los mayores para que le digan algo,1,text,
Componente 1: NNA resignifican y hacen buen uso del espacio público,Acandí,26.10.2015 00:00:00,4,Alguien está robando la malla de la cancha y yo lo veo ¿qué hago?,primearo aviso a lagun cercano o a la policía que queda cerca y le digo rápido porque no me puedo enfrentar a ellos.,1,text,
Componente 1: NNA resignifican y hacen buen uso del espacio público,Acandí,26.10.2015 00:00:00,4,Alguien está robando la malla de la cancha y yo lo veo ¿qué hago?,que no se la robe porque eso es de la comunidad,1,text,
Componente 1: NNA resignifican y hacen buen uso del espacio público,Acandí,26.10.2015 00:00:00,5,¿He sentido alguna vez que las canchas del barrio pueden ser peligrosas para mi?,Sí,7,yesno,"{""list"":[""Sí"",""No""]}"
Componente 1: NNA resignifican y hacen buen uso del espacio público,Acandí,26.10.2015 00:00:00,5,¿He sentido alguna vez que las canchas del barrio pueden ser peligrosas para mi?,No,6,yesno,"{""list"":[""Sí"",""No""]}"
Componente 1: NNA resignifican y hacen buen uso del espacio público,Acandí,26.10.2015 00:00:00,6,"Si la respuesta a la pregunta anterior es ""si"", ¿Qué peligros veo en estos sitios?",porque alguna moto puede venir y atropellarme.,1,text,
Componente 1: NNA resignifican y hacen buen uso del espacio público,Acandí,26.10.2015 00:00:00,6,"Si la respuesta a la pregunta anterior es ""si"", ¿Qué peligros veo en estos sitios?","Drogradicción, riñas algo así porque en la mayoría de los casos sucede así",1,text,
Componente 1: NNA resignifican y hacen buen uso del espacio público,Acandí,26.10.2015 00:00:00,6,"Si la respuesta a la pregunta anterior es ""si"", ¿Qué peligros veo en estos sitios?",no aplica,6,text,
